name,type,level,recipe
Poitrine de Glourson fumée,Viande comestible,200,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Poitrine de Glourson conservée']"
Poitrine de Glourséleste fumée,Viande comestible,200,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Poitrine de Glourséleste conservée']"
Serviette égarée,Objet utilisable,200,[]
Bouteille de Cocalane,Boisson,200,[]
Parchemin de Diamant,Parchemin d'expérience,200,[]
Bavette de Bléro au Frostiz,Viande comestible,190,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Bavette de Bléro conservée']"
Bavette de Xa au Frostiz,Viande comestible,190,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Bavette de Xa conservée']"
Bifstèque de Tengu Givrefoux,Viande comestible,180,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Viande de Tengu Givrefoux conservée']"
Bifstèque de Givrefoux,Viande comestible,180,"['Dose de jus goûtu', 'Cerise', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Viande de Givrefoux conservée']"
Entrecôte de Crocodaille **,Viande comestible,170,"['Mesure de sel', 'Dose de jus goûtu', 'Huile à frire', 'Feuille de Salace', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Viande de Crocodaille Conservée **']"
Chair de Mansot Royal grillée,Viande comestible,170,"['Dose de jus goûtu', 'Citron', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Chair de Mansot Royal conservée']"
Entrecôte de Crocodaille ****,Viande comestible,170,"['Mesure de sel', 'Dose de jus goûtu', 'Huile à frire', 'Feuille de Salace', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Viande de Crocodaille Conservée ****']"
Cuisse de Royalmouth rôtie,Viande comestible,150,"['Mesure de sel', 'Dose de jus goûtu', 'Huile à frire', 'Oignon', 'Épices', 'Mesure de Poivre', 'Sang infecté', 'Cuisse de Royalmouth conservée']"
Entrecôte de Kanigrou ****,Viande comestible,140,"['Mesure de sel', 'Huile à frire', 'Feuille de Salace', 'Mesure de Poivre', 'Sang infecté', 'Viande de Kanigrou Conservée ****']"
